Year, Month, Intel, Google, Yahoo
1973, Jun, 268, 492, 294
1973, Jul, 914, 766, 705
1973, Aug, 728, 706, 612
1973, Sep, 482, 281, 628
1973, Oct, 153, 44, 684
1973, Nov, 971, 722, 37
1973, Dec, 950, 408, 318
1974, Jan, 561, 286, 793
1974, Feb, 458, 5, 855
1974, Mar, 117, 909, 116
1974, Apr, 838, 147, 423
1974, May, 762, 341, 762
1974, Jun, 27, 192, 28
1974, Jul, 136, 248, 456
1974, Aug, 860, 276, 979
1974, Sep, 421, 854, 688
1974, Oct, 139, 136, 490
1974, Nov, 469, 639, 17
1974, Dec, 915, 935, 976
1975, Jan, 655, 32, 429
1975, Feb, 798, 170, 595
1975, Mar, 902, 866, 125
1975, Apr, 229, 101, 26
1975, May, 72, 670, 835
1975, Jun, 51, 640, 138
1975, Jul, 75, 210, 295
1975, Aug, 329, 192, 643
1975, Sep, 427, 316, 762
1975, Oct, 353, 518, 822
1975, Nov, 230, 621, 204
1975, Dec, 884, 670, 132
1976, Jan, 740, 135, 915
1976, Feb, 290, 930, 515
1976, Mar, 781, 987, 604
1976, Apr, 950, 130, 733
1976, May, 551, 150, 82
1976, Jun, 741, 378, 101
1976, Jul, 192, 993, 921
1976, Aug, 611, 176, 498
1976, Sep, 52, 730, 734
1976, Oct, 760, 422, 348
1976, Nov, 766, 922, 637
1976, Dec, 378, 356, 713
1977, Jan, 940, 228, 38
1977, Feb, 771, 42, 350
1977, Mar, 366, 994, 863
1977, Apr, 873, 300, 310
1977, May, 81, 111, 391
1977, Jun, 961, 96, 31
1977, Jul, 909, 707, 847
1977, Aug, 857, 862, 308
1977, Sep, 657, 517, 733
1977, Oct, 38, 134, 143
1977, Nov, 782, 721, 585
1977, Dec, 523, 367, 334
1978, Jan, 122, 527, 63
1978, Feb, 314, 745, 262
1978, Mar, 606, 135, 829
1978, Apr, 108, 257, 874
1978, May, 60, 449, 158
1978, Jun, 324, 133, 371
1978, Jul, 407, 581, 697
1978, Aug, 173, 416, 371
1978, Sep, 750, 932, 828
1978, Oct, 11, 770, 276
1978, Nov, 291, 512, 430
1978, Dec, 189, 736, 762
1979, Jan, 514, 274, 721
1979, Feb, 283, 609, 219
1979, Mar, 867, 590, 835
1979, Apr, 50, 834, 212
1979, May, 33, 947, 364
1979, Jun, 433, 529, 118
1979, Jul, 622, 198, 439
1979, Aug, 975, 817, 108
1979, Sep, 120, 213, 851
1979, Oct, 591, 124, 308
1979, Nov, 377, 4, 512
1979, Dec, 444, 970, 680
1980, Jan, 354, 39, 446
1980, Feb, 319, 483, 560
1980, Mar, 889, 767, 706
1980, Apr, 843, 387, 697
1980, May, 437, 984, 234
1980, Jun, 308, 60, 384
1980, Jul, 887, 361, 251
1980, Aug, 604, 159, 392
1980, Sep, 292, 507, 169
1980, Oct, 407, 158, 430
1980, Nov, 819, 15, 610
1980, Dec, 235, 705, 145
1981, Jan, 712, 898, 676
1981, Feb, 208, 891, 404
1981, Mar, 2, 93, 128
1981, Apr, 548, 572, 377
1981, May, 222, 970, 144
1981, Jun, 98, 141, 174
1981, Jul, 657, 607, 121
1981, Aug, 153, 68, 943
1981, Sep, 389, 455, 823
1981, Oct, 722, 854, 424
1981, Nov, 96, 466, 917
1981, Dec, 241, 252, 265
1982, Jan, 249, 181, 736
1982, Feb, 717, 928, 806
1982, Mar, 985, 597, 709
1982, Apr, 617, 393, 764
1982, May, 971, 20, 986
1982, Jun, 548, 152, 592
1982, Jul, 863, 200, 334
1982, Aug, 613, 972, 347
1982, Sep, 421, 539, 939
1982, Oct, 179, 617, 205
1982, Nov, 56, 126, 410
1982, Dec, 317, 467, 934
1983, Jan, 73, 548, 868
1983, Feb, 902, 966, 708
1983, Mar, 158, 646, 237
1983, Apr, 461, 343, 991
1983, May, 329, 568, 781
1983, Jun, 208, 429, 814
1983, Jul, 639, 214, 364
1983, Aug, 327, 184, 57
1983, Sep, 451, 128, 779
1983, Oct, 795, 366, 382
1983, Nov, 732, 122, 615
1983, Dec, 122, 1, 857
1984, Jan, 938, 564, 978
1984, Feb, 123, 8, 251
1984, Mar, 870, 304, 863
1984, Apr, 168, 4, 292
1984, May, 362, 534, 106
1984, Jun, 85, 677, 545
1984, Jul, 439, 49, 736
1984, Aug, 33, 688, 33
1984, Sep, 72, 87, 143
1984, Oct, 256, 572, 742
1984, Nov, 755, 863, 857
1984, Dec, 855, 303, 407
1985, Jan, 229, 377, 694
1985, Feb, 708, 489, 406
1985, Mar, 261, 808, 983
1985, Apr, 41, 543, 681
1985, May, 749, 249, 940
1985, Jun, 659, 570, 271
1985, Jul, 553, 475, 18
1985, Aug, 143, 516, 226
1985, Sep, 401, 288, 608
1985, Oct, 910, 132, 801
1985, Nov, 510, 396, 185
1985, Dec, 267, 549, 957
1986, Jan, 360, 496, 462
1986, Feb, 415, 492, 946
1986, Mar, 177, 933, 462
1986, Apr, 458, 773, 177
1986, May, 949, 313, 128
1986, Jun, 893, 655, 453
1986, Jul, 656, 998, 909
1986, Aug, 381, 939, 881
1986, Sep, 857, 99, 33
1986, Oct, 505, 237, 312
1986, Nov, 102, 134, 182
1986, Dec, 262, 480, 621
1987, Jan, 199, 485, 14
1987, Feb, 179, 659, 443
1987, Mar, 140, 444, 174
1987, Apr, 742, 963, 378
1987, May, 951, 816, 561
1987, Jun, 676, 70, 978
1987, Jul, 357, 599, 553
1987, Aug, 786, 441, 338
1987, Sep, 868, 719, 978
1987, Oct, 724, 275, 995
1987, Nov, 653, 149, 806
1987, Dec, 377, 464, 693
1988, Jan, 801, 432, 779
1988, Feb, 904, 977, 707
1988, Mar, 235, 242, 927
1988, Apr, 957, 948, 310
1988, May, 499, 168, 931
1988, Jun, 516, 291, 51
1988, Jul, 752, 936, 789
1988, Aug, 397, 444, 493
1988, Sep, 5, 907, 435
1988, Oct, 283, 164, 731
1988, Nov, 746, 94, 649
1988, Dec, 42, 378, 217
1989, Jan, 917, 276, 516
1989, Feb, 807, 373, 400
1989, Mar, 319, 625, 654
1989, Apr, 98, 567, 911
1989, May, 55, 220, 250
1989, Jun, 170, 77, 125
1989, Jul, 48, 22, 65
1989, Aug, 422, 50, 194
1989, Sep, 369, 749, 880
1989, Oct, 219, 772, 56
1989, Nov, 725, 196, 289
1989, Dec, 61, 46, 169
1990, Jan, 681, 250, 363
1990, Feb, 572, 369, 259
1990, Mar, 654, 932, 986
1990, Apr, 428, 860, 241
1990, May, 52, 171, 9
1990, Jun, 340, 357, 512
1990, Jul, 554, 615, 548
1990, Aug, 950, 485, 658
1990, Sep, 266, 200, 497
1990, Oct, 376, 398, 570
1990, Nov, 274, 842, 913
1990, Dec, 184, 926, 584
1991, Jan, 908, 144, 257
1991, Feb, 880, 846, 69
1991, Mar, 114, 574, 23
1991, Apr, 92, 306, 314
1991, May, 857, 751, 936
1991, Jun, 550, 608, 506
1991, Jul, 425, 698, 481
1991, Aug, 250, 352, 972
1991, Sep, 900, 902, 512
1991, Oct, 815, 138, 764
1991, Nov, 897, 29, 179
1991, Dec, 996, 477, 605
1992, Jan, 305, 367, 397
1992, Feb, 969, 982, 689
1992, Mar, 781, 200, 518
1992, Apr, 531, 27, 253
1992, May, 575, 438, 462
1992, Jun, 410, 264, 5
1992, Jul, 839, 517, 668
1992, Aug, 501, 451, 790
1992, Sep, 409, 822, 368
1992, Oct, 38, 365, 603
1992, Nov, 631, 415, 271
1992, Dec, 952, 422, 258
1993, Jan, 962, 799, 642
1993, Feb, 81, 178, 643
1993, Mar, 190, 566, 702
1993, Apr, 182, 38, 18
1993, May, 261, 973, 26
1993, Jun, 146, 671, 694
1993, Jul, 936, 528, 319
1993, Aug, 879, 625, 732
1993, Sep, 736, 352, 766
1993, Oct, 597, 361, 326
1993, Nov, 472, 253, 246
1993, Dec, 117, 510, 957
1994, Jan, 625, 282, 448
1994, Feb, 100, 869, 691
1994, Mar, 18, 565, 408
1994, Apr, 918, 497, 29
1994, May, 803, 407, 872
1994, Jun, 372, 552, 667
1994, Jul, 523, 126, 480
1994, Aug, 168, 554, 879
1994, Sep, 381, 44, 377
1994, Oct, 239, 140, 932
1994, Nov, 345, 991, 497
1994, Dec, 616, 36, 880
1995, Jan, 873, 445, 822
1995, Feb, 560, 217, 540
1995, Mar, 446, 36, 462
1995, Apr, 851, 692, 300
1995, May, 261, 992, 815
1995, Jun, 78, 574, 855
1995, Jul, 94, 208, 292
1995, Aug, 765, 306, 20
1995, Sep, 245, 771, 357
1995, Oct, 331, 39, 873
1995, Nov, 9, 941, 320
1995, Dec, 895, 534, 171
1996, Jan, 449, 231, 305
1996, Feb, 736, 148, 839
1996, Mar, 423, 126, 518
1996, Apr, 522, 264, 765
1996, May, 603, 299, 703
1996, Jun, 963, 126, 831
1996, Jul, 932, 78, 135
1996, Aug, 982, 606, 656
1996, Sep, 470, 793, 123
1996, Oct, 952, 1, 377
1996, Nov, 93, 740, 76
1996, Dec, 313, 43, 332
1997, Jan, 543, 71, 941
1997, Feb, 330, 841, 775
1997, Mar, 785, 817, 304
1997, Apr, 224, 412, 972
1997, May, 788, 931, 892
1997, Jun, 655, 208, 814
1997, Jul, 975, 713, 523
1997, Aug, 398, 468, 830
1997, Sep, 41, 44, 449
1997, Oct, 774, 123, 585
1997, Nov, 813, 181, 732
1997, Dec, 550, 987, 389
1998, Jan, 13, 119, 68
1998, Feb, 396, 85, 15
1998, Mar, 281, 285, 522
1998, Apr, 824, 959, 767
1998, May, 515, 912, 803
1998, Jun, 997, 56, 825
1998, Jul, 694, 961, 960
1998, Aug, 246, 561, 345
1998, Sep, 878, 842, 243
1998, Oct, 628, 314, 363
1998, Nov, 908, 246, 908
1998, Dec, 49, 388, 218
1999, Jan, 326, 17, 353
1999, Feb, 225, 499, 823
1999, Mar, 682, 147, 402
1999, Apr, 611, 676, 724
1999, May, 391, 263, 324
1999, Jun, 785, 330, 560
1999, Jul, 804, 216, 106
1999, Aug, 295, 260, 913
1999, Sep, 802, 428, 726
1999, Oct, 150, 630, 128
1999, Nov, 130, 273, 267
1999, Dec, 662, 173, 869
2000, Jan, 283, 146, 487
2000, Feb, 613, 424, 907
2000, Mar, 525, 554, 972
2000, Apr, 804, 381, 114
2000, May, 412, 832, 678
2000, Jun, 532, 806, 806
2000, Jul, 631, 651, 535
2000, Aug, 867, 84, 86
2000, Sep, 414, 534, 118
2000, Oct, 357, 813, 80
2000, Nov, 276, 292, 510
2000, Dec, 697, 823, 750
2001, Jan, 347, 136, 758
2001, Feb, 367, 243, 839
2001, Mar, 195, 304, 609
2001, Apr, 956, 91, 538
2001, May, 231, 624, 76
2001, Jun, 357, 116, 951
2001, Jul, 561, 182, 387
2001, Aug, 621, 725, 757
2001, Sep, 787, 991, 950
2001, Oct, 528, 711, 64
2001, Nov, 884, 418, 523
2001, Dec, 390, 747, 545
2002, Jan, 183, 380, 661
2002, Feb, 8, 331, 191
2002, Mar, 474, 488, 717
2002, Apr, 202, 366, 983
2002, May, 588, 931, 932
2002, Jun, 781, 598, 269
2002, Jul, 633, 712, 970
2002, Aug, 541, 546, 324
2002, Sep, 210, 503, 699
2002, Oct, 91, 344, 861
2002, Nov, 952, 987, 895
2002, Dec, 122, 380, 546
2003, Jan, 491, 487, 594
2003, Feb, 187, 975, 181
2003, Mar, 243, 879, 712
2003, Apr, 957, 589, 484
2003, May, 77, 719, 75
2003, Jun, 983, 688, 512
2003, Jul, 604, 152, 240
2003, Aug, 44, 345, 284
2003, Sep, 254, 140, 745
2003, Oct, 763, 603, 516
2003, Nov, 998, 425, 597
2003, Dec, 195, 419, 163
2004, Jan, 785, 443, 871
2004, Feb, 224, 409, 93
2004, Mar, 938, 618, 694
2004, Apr, 97, 868, 597
2004, May, 69, 875, 492
2004, Jun, 204, 901, 728
2004, Jul, 467, 124, 433
2004, Aug, 508, 444, 197
2004, Sep, 35, 455, 282
2004, Oct, 840, 700, 481
2004, Nov, 950, 700, 316
2004, Dec, 550, 939, 2
2005, Jan, 274, 889, 651
2005, Feb, 362, 935, 573
2005, Mar, 767, 718, 407
2005, Apr, 713, 387, 689
2005, May, 749, 491, 980
2005, Jun, 580, 594, 759
2005, Jul, 586, 117, 140
2005, Aug, 302, 43, 277
2005, Sep, 275, 580, 909
2005, Oct, 261, 765, 925
2005, Nov, 276, 790, 406
2005, Dec, 962, 507, 233
2006, Jan, 968, 612, 134
2006, Feb, 512, 819, 464
2006, Mar, 983, 571, 260
2006, Apr, 875, 93, 348
2006, May, 689, 766, 836
2006, Jun, 103, 602, 61
2006, Jul, 916, 77, 639
2006, Aug, 131, 402, 796
2006, Sep, 158, 423, 367
2006, Oct, 553, 674, 536
2006, Nov, 842, 453, 529
2006, Dec, 144, 718, 525
2007, Jan, 603, 240, 200
2007, Feb, 552, 305, 1000
2007, Mar, 973, 414, 74
2007, Apr, 421, 870, 450
2007, May, 449, 124, 576
2007, Jun, 328, 207, 632
2007, Jul, 38, 118, 925
2007, Aug, 190, 640, 315
2007, Sep, 896, 214, 671
2007, Oct, 977, 161, 629
2007, Nov, 147, 384, 987
2007, Dec, 212, 591, 377
2008, Jan, 232, 765, 204
2008, Feb, 767, 749, 632
2008, Mar, 448, 135, 402
2008, Apr, 184, 348, 522
2008, May, 966, 214, 395
2008, Jun, 486, 776, 2
2008, Jul, 835, 213, 448
2008, Aug, 643, 201, 527
2008, Sep, 431, 778, 574
2008, Oct, 234, 918, 405
2008, Nov, 743, 540, 525
2008, Dec, 129, 292, 768
2009, Jan, 20, 721, 819
2009, Feb, 666, 45, 30
2009, Mar, 142, 701, 516
2009, Apr, 791, 194, 310
2009, May, 825, 50, 802
2009, Jun, 40, 435, 136
2009, Jul, 489, 527, 207
2009, Aug, 759, 989, 452
2009, Sep, 726, 29, 30
2009, Oct, 779, 999, 587
2009, Nov, 331, 487, 500
2009, Dec, 305, 43, 593
2010, Jan, 453, 861, 939
2010, Feb, 794, 626, 432
2010, Mar, 897, 156, 811
2010, Apr, 429, 64, 118
2010, May, 548, 466, 19
2010, Jun, 648, 458, 378
2010, Jul, 569, 121, 174
2010, Aug, 194, 872, 80
2010, Sep, 6, 781, 904
2010, Oct, 242, 449, 713
2010, Nov, 44, 139, 16
2010, Dec, 906, 126, 740
2011, Jan, 619, 627, 692
2011, Feb, 406, 107, 592
2011, Mar, 902, 510, 477
2011, Apr, 459, 708, 970
2011, May, 431, 736, 86
2011, Jun, 33, 212, 465
2011, Jul, 617, 910, 655
2011, Aug, 365, 743, 185
2011, Sep, 547, 926, 24
2011, Oct, 470, 625, 336
2011, Nov, 55, 757, 973
2011, Dec, 589, 849, 802
2012, Jan, 641, 919, 766
2012, Feb, 220, 557, 611
2012, Mar, 409, 458, 639
2012, Apr, 724, 616, 747
2012, May, 415, 352, 394
2012, Jun, 556, 900, 515
2012, Jul, 584, 326, 87
2012, Aug, 913, 540, 288
2012, Sep, 936, 726, 296
2012, Oct, 431, 971, 153
2012, Nov, 209, 260, 140
2012, Dec, 60, 359, 742
